Modo,Texto (chars),Chave (bits),Criptografia (ms),Descriptografia (ms)
ECB,16,128,2.67,2.02
CBC,16,128,0.0,0.0
ECB,16,128,0.0,0.0
CBC,16,128,0.0,0.0
ECB,32,128,0.0,0.0
CBC,32,128,0.0,0.91
ECB,16,128,2.02,0.0
CBC,16,128,0.0,0.0
ECB,16,128,0.0,0.0
CBC,16,128,1.75,0.0
ECB,16,128,1.55,0.0
CBC,16,128,0.0,0.0
ECB,16,128,0.0,0.0
CBC,16,128,0.0,0.0
ECB,16,128,0.0,0.0
CBC,16,128,0.0,0.0
ECB,16,128,6.13,0.0
CBC,16,128,0.0,0.0
ECB,16,128,0.0,0.0
CBC,16,128,1.58,0.0
ECB,16,128,16.32,0.0
CBC,16,128,10.64,0.0
ECB,16,128,4.88,0.0
CBC,16,128,9.96,0.0
ECB,16,128,2.02,0.0
CBC,16,128,0.0,0.0
